"Question","ranking","count","Sum","percent"
"The environment","Strongly agree",28,153,18.3
"The environment","Agree",81,153,52.94
"The environment","Neither agree nor disagree",29,153,18.95
"The environment","Disagree",11,153,7.19
"The environment","Strongly disagree",4,153,2.61
"Evidence","Strongly agree",38,153,24.84
"Evidence","Agree",81,153,52.94
"Evidence","Neither agree nor disagree",26,153,16.99
"Evidence","Disagree",7,153,4.58
"Evidence","Strongly disagree",1,153,0.65
"Teammates and/or colleagues","Strongly agree",13,153,8.5
"Teammates and/or colleagues","Agree",65,153,42.48
"Teammates and/or colleagues","Neither agree nor disagree",48,153,31.37
"Teammates and/or colleagues","Disagree",23,153,15.03
"Teammates and/or colleagues","Strongly disagree",4,153,2.61
"Agency or organization leaders","Strongly agree",36,153,23.53
"Agency or organization leaders","Agree",69,153,45.1
"Agency or organization leaders","Neither agree nor disagree",31,153,20.26
"Agency or organization leaders","Disagree",16,153,10.46
"Agency or organization leaders","Strongly disagree",1,153,0.65
"Elected leaders","Strongly agree",59,153,38.56
"Elected leaders","Agree",62,153,40.52
"Elected leaders","Neither agree nor disagree",23,153,15.03
"Elected leaders","Disagree",8,153,5.23
"Elected leaders","Strongly disagree",1,153,0.65
"Stakeholders or rightsholders","Strongly agree",32,153,20.92
"Stakeholders or rightsholders","Agree",71,153,46.41
"Stakeholders or rightsholders","Neither agree nor disagree",40,153,26.14
"Stakeholders or rightsholders","Disagree",10,153,6.54
"Stakeholders or rightsholders","Strongly disagree",0,153,0
"Funding","Strongly agree",67,153,43.79
"Funding","Agree",54,153,35.29
"Funding","Neither agree nor disagree",22,153,14.38
"Funding","Disagree",7,153,4.58
"Funding","Strongly disagree",3,153,1.96
