"Question","ranking","count"
"The environment","Strongly.agree",28
"The environment","Agree",81
"The environment","Neither.agree.nor.disagree",29
"The environment","Disagree",11
"The environment","Strongly.disagree",4
"Evidence","Strongly.agree",38
"Evidence","Agree",81
"Evidence","Neither.agree.nor.disagree",26
"Evidence","Disagree",7
"Evidence","Strongly.disagree",1
"Teammates and/or colleagues","Strongly.agree",13
"Teammates and/or colleagues","Agree",65
"Teammates and/or colleagues","Neither.agree.nor.disagree",48
"Teammates and/or colleagues","Disagree",23
"Teammates and/or colleagues","Strongly.disagree",4
"Agency or organization leaders","Strongly.agree",36
"Agency or organization leaders","Agree",69
"Agency or organization leaders","Neither.agree.nor.disagree",31
"Agency or organization leaders","Disagree",16
"Agency or organization leaders","Strongly.disagree",1
"Elected leaders","Strongly.agree",59
"Elected leaders","Agree",62
"Elected leaders","Neither.agree.nor.disagree",23
"Elected leaders","Disagree",8
"Elected leaders","Strongly.disagree",1
"Stakeholders or rightsholders","Strongly.agree",32
"Stakeholders or rightsholders","Agree",71
"Stakeholders or rightsholders","Neither.agree.nor.disagree",40
"Stakeholders or rightsholders","Disagree",10
"Stakeholders or rightsholders","Strongly.disagree",0
"Funding","Strongly.agree",67
"Funding","Agree",54
"Funding","Neither.agree.nor.disagree",22
"Funding","Disagree",7
"Funding","Strongly.disagree",3
