"Question","ranking","count","Sum","percent"
"The environment","Always",22,155,14.19
"The environment","Most.of.the.time",45,155,29.03
"The environment","About.half.the.time",32,155,20.65
"The environment","Sometimes",51,155,32.9
"The environment","Never",5,155,3.23
"Evidence","Always",15,155,9.68
"Evidence","Most.of.the.time",50,155,32.26
"Evidence","About.half.the.time",28,155,18.06
"Evidence","Sometimes",56,155,36.13
"Evidence","Never",6,155,3.87
"Teammates and/or colleagues","Always",5,155,3.23
"Teammates and/or colleagues","Most.of.the.time",25,155,16.13
"Teammates and/or colleagues","About.half.the.time",30,155,19.35
"Teammates and/or colleagues","Sometimes",87,155,56.13
"Teammates and/or colleagues","Never",8,155,5.16
"Agency or organization leaders","Always",13,155,8.39
"Agency or organization leaders","Most.of.the.time",33,155,21.29
"Agency or organization leaders","About.half.the.time",31,155,20
"Agency or organization leaders","Sometimes",69,155,44.52
"Agency or organization leaders","Never",9,155,5.81
"Elected leaders","Always",39,155,25.16
"Elected leaders","Most.of.the.time",57,155,36.77
"Elected leaders","About.half.the.time",31,155,20
"Elected leaders","Sometimes",26,155,16.77
"Elected leaders","Never",2,155,1.29
"Stakeholders or rightsholders","Always",16,155,10.32
"Stakeholders or rightsholders","Most.of.the.time",49,155,31.61
"Stakeholders or rightsholders","About.half.the.time",51,155,32.9
"Stakeholders or rightsholders","Sometimes",38,155,24.52
"Stakeholders or rightsholders","Never",1,155,0.65
"Funding","Always",37,155,23.87
"Funding","Most.of.the.time",55,155,35.48
"Funding","About.half.the.time",27,155,17.42
"Funding","Sometimes",31,155,20
"Funding","Never",5,155,3.23
