Answer,Count,Answer_fr,Count,Location,Sum
Alberta,39,Alberta,1,Alberta,40
British Columbia,26,British Columbia,4,British Columbia,30
Manitoba,11,Manitoba,1,Manitoba,12
New Brunswick,4,New Brunswick,1,New Brunswick,5
Newfoundland and Labrador,5,Newfoundland and Labrador,1,Newfoundland and Labrador,6
Nova Scotia,9,Nova Scotia,1,Nova Scotia,10
Ontario,61,Ontario,2,Ontario,63
Prince Edward Island,6,Prince Edward Island,1,Prince Edward Island,7
Quebec,7,Quebec,8,Quebec,15
Saskatchewan,22,Saskatchewan,1,Saskatchewan,23
Northwest Territories,8,Northwest Territories,1,Northwest Territories,9
Nunavut,6,Nunavut,1,Nunavut,7
Yukon,11,Yukon,1,Yukon,12
Other,3,Other,2,Other,5
